lr,batch_size,seq_len,epoch,val_rmse,val_mae,val_mape,train_rmse,train_mae,train_mape
0.01,16,3,251,0.11055882633511478,0.08562869911610213,0.008604128758563676,0.0909343242439435,0.07142810109108845,0.007316183200648296
0.01,32,3,101,0.10956064124395966,0.08538795070840867,0.008578147808853485,0.09103283867903639,0.07152138202861724,0.007324481153964297
0.01,64,3,251,0.10932557294670664,0.08433161546164372,0.00847534285422408,0.08434334399621138,0.06421913668022336,0.006706416618532686
0.01,16,6,101,0.10983648695037672,0.08640356806286437,0.008707181469642536,0.08485761856939326,0.06417446446518779,0.0067351668992136435
0.01,32,6,651,0.10979126879542049,0.08692960574177883,0.008741508734953435,0.07651210183278122,0.059922845396060895,0.0060778857152882166
0.01,64,6,151,0.11156777321626467,0.0885165348934283,0.008915902298262814,0.07933077352355776,0.058932492310030754,0.006195826658030669
0.01,16,9,51,0.10778930591226088,0.0836324119818586,0.008412666971299025,0.11111084954820424,0.08844874158780162,0.00875047600608517
0.01,32,9,151,0.10679724008187534,0.08291072563073502,0.008335121186672978,0.08294958141223065,0.06527108833428348,0.006676019633541781
0.01,64,9,251,0.10606774009284765,0.08215786765908,0.008264125996190022,0.0796346462690072,0.06068707569732549,0.006309108312781149
0.01,16,12,51,0.10596298292327089,0.08171476815471423,0.008230710552969837,0.09836975003289986,0.07768892744759746,0.00792168699271267
0.01,32,12,301,0.10716363650633509,0.08455455302166807,0.008521933008466752,0.08764648010143257,0.06825439986879986,0.006969021093449476
0.01,64,12,1051,0.10934313491659692,0.08880924027628744,0.008947608809378749,0.055343803659580984,0.042377521990996835,0.004299910798073082
0.01,16,15,351,0.10729959071252071,0.08321372022587883,0.008346865229358279,0.0804649245185556,0.06174812874391559,0.006508422320827226
0.01,32,15,251,0.10743342149182526,0.08492642533057275,0.008551750069852076,0.10330121109574643,0.08158719982742549,0.008240338275064065
0.01,64,15,501,0.10721789813896761,0.08499791549230766,0.008552639185850022,0.0902566503603389,0.0717513774458977,0.007198219962580057
0.01,16,18,1451,0.1085070139415233,0.08796764804911372,0.008873144961184626,0.07624993097467238,0.056123707466199275,0.005844330879951562
0.01,32,18,251,0.106590437075702,0.08374442479148611,0.008416933368132835,0.079725950382662,0.06275502725853906,0.006395665358975213
0.01,64,18,501,0.10822442419339656,0.0846310418954177,0.008504736438324197,0.07581956800752326,0.05877819481706934,0.006170678524618943
0.01,16,21,1201,0.11065106898733394,0.0901518677992479,0.009093410316050427,0.08933079221295125,0.06992664485307933,0.007118177975636292
0.01,32,21,1101,0.10830022628745294,0.0854510045779861,0.008605514038548352,0.07142025508988523,0.05228131529561714,0.005476046962386864
0.01,64,21,451,0.10993802529041342,0.0872365599674698,0.00879963494713834,0.08027574986782503,0.05900597727361897,0.006281808014038539
0.01,16,24,1351,0.10537356623600516,0.08268196179528359,0.008320172632428971,0.07810380085516727,0.05912088234416755,0.0061698068068399645
0.01,32,24,251,0.10781840222973926,0.08504193822679279,0.00855441879566009,0.07647180771525589,0.057335458797558046,0.0059681284681477285
0.01,64,24,651,0.10874384024846838,0.0857228341796935,0.008632084388504638,0.07847633774045142,0.06178194800850603,0.0062406223875269675
0.001,16,3,1301,0.10942007124204949,0.08598336321165037,0.008653983930686582,0.08183924108414051,0.06146067565997281,0.006460768702891733
0.001,32,3,401,0.11050650822615855,0.0862428324965837,0.00867840060907587,0.0826880105863041,0.0619184509103709,0.006508182323599659
0.001,64,3,751,0.10960965280491582,0.08542883306247963,0.00859939865763456,0.08334439160460137,0.062013080834184914,0.006511278770248507
0.001,16,6,601,0.11038013723782981,0.08739542626156109,0.008801440868680798,0.0782920467516165,0.05865302149883002,0.006172727481472879
0.001,32,6,1001,0.11015235291996511,0.08754155896480159,0.0088162438309263,0.08007694205002205,0.060933425683766425,0.00636428704421071
0.001,64,6,1351,0.11037305505177329,0.08772404579464195,0.008831426958982631,0.08036268780177835,0.062104266042086666,0.006477219086569181
0.001,16,9,401,0.1076899100223853,0.08390560896113257,0.008433037663450294,0.07473290491165409,0.05603641413691102,0.005881868384270132
0.001,32,9,751,0.10743048118763404,0.08367728294531208,0.008410742336999805,0.07396789419887771,0.053943608889978706,0.005643531987491669
0.001,64,9,1301,0.10694845324820441,0.08401629784184088,0.008452170940425852,0.07655417084383062,0.056968783767264705,0.0059564413146737565
0.001,16,12,551,0.10671592012760814,0.08367575181183136,0.008402087592714172,0.07274817993829497,0.05530504819630496,0.005763343802824261
0.001,32,12,351,0.10639561773162134,0.08319730906776904,0.008372630880571039,0.07889831934673154,0.05905130378223091,0.006206610653353146
0.001,64,12,851,0.10707878724103896,0.0841763150545329,0.008462616769821608,0.07584706318509549,0.05703180347704653,0.00600102137272661
0.001,16,15,501,0.10519705768671588,0.08228249728151461,0.00826262303724532,0.07646702254659929,0.06014941182216411,0.006192913360681195
0.001,32,15,651,0.10569869707790687,0.08327411945366847,0.008361483863451005,0.07225474044390975,0.05517158781294275,0.005785261713089658
0.001,64,15,1251,0.1062003435122423,0.08363165233636942,0.008400156199861267,0.0708479469122494,0.053338614004469445,0.005590799391758381
0.001,16,18,351,0.10590245123279385,0.08384794801769936,0.00842751974654404,0.07230152715565334,0.055511340622435665,0.005811843718852061
0.001,32,18,651,0.10664362293485642,0.08485700195983326,0.008524365390854478,0.07230302603620636,0.05638542382010931,0.005850002462253353
0.001,64,18,1051,0.1063751524942978,0.08374535003592799,0.00840713684687438,0.07371752831074826,0.056418479971785604,0.0058838278121005234
0.001,16,21,201,0.10811522053415186,0.08391518013353695,0.00841409901244368,0.07965344702068988,0.06369437286250124,0.006621355881535363
0.001,32,21,451,0.10730905241276574,0.08326046771603361,0.008356212456448952,0.07358996971759037,0.05566945241305367,0.005840303286040113
0.001,64,21,701,0.10651239640523516,0.08345537740830944,0.008385286803387012,0.07616981671369019,0.05785459715120019,0.006058237115305587
0.001,16,24,251,0.10682797733767935,0.08347664477628125,0.008379705963278162,0.07551001729988902,0.05736589982233303,0.006028982445746907
0.001,32,24,551,0.10767463911446623,0.08438179280686682,0.008471608834159783,0.07398540409470501,0.05640040004473047,0.005937506529843444
0.001,64,24,701,0.10707591958445552,0.08421458221567772,0.008462753073087309,0.07663865411862733,0.059015890854187715,0.006200708440043588
0.0001,16,3,551,0.10890859468756393,0.08538869168823464,0.008616951321299152,0.08584338364464346,0.06320472982530445,0.006699885941010774
0.0001,32,3,901,0.10971791345912117,0.08608419528823183,0.00868693577450308,0.08570210478715833,0.06302664884235029,0.006677992885578692
0.0001,64,3,1351,0.10834931248305776,0.08499323950806448,0.0085797432258916,0.08995097666022454,0.06587972403024915,0.006962569191995813
0.0001,16,6,1401,0.11058539689950433,0.08762077733906574,0.00882426348340028,0.07824427278771136,0.05779876774029539,0.006091527439358549
0.0001,32,6,1499,0.1122241645567218,0.08879959793123364,0.008950975395611802,0.07978801571026373,0.060297062020789396,0.006345851720200958
0.0001,64,6,1451,0.1258281312171462,0.1013875490327197,0.010271394006985221,0.09021355992769933,0.06578739427375187,0.006995830393078999
0.0001,16,9,1451,0.10720729400937598,0.08375769925525886,0.008421168869799371,0.07557116838670576,0.05605612216666165,0.005894175143315744
0.0001,32,9,1451,0.10885981761595849,0.08566196215375911,0.008620981618487462,0.0778922584467212,0.05906143335789039,0.006202198471003641
0.0001,64,9,1499,0.11942734262879932,0.09527967754898278,0.009647810749294314,0.08643706981436294,0.06225015145572505,0.006605221347844073
0.0001,16,12,801,0.10692593694514256,0.08421184977414535,0.008472875511318692,0.07704645031813079,0.05807839944330641,0.006105749458224684
0.0001,32,12,1401,0.10722083086088792,0.08452098031436377,0.008500608595528546,0.07812527591786513,0.060276139749421066,0.006309112451794425
0.0001,64,12,1451,0.11448923546610597,0.09146381434200238,0.009247843427764964,0.08356371275375547,0.060494604977995935,0.006415850990287876
0.0001,16,15,751,0.10744731277503039,0.08505639505845707,0.008555348718033807,0.07724936739130424,0.05900961507222521,0.006200159266495004
0.0001,32,15,1101,0.10742416666960024,0.08461187872819897,0.008514750724442525,0.07771220988226021,0.058587985496258294,0.006154900616275711
0.0001,64,15,1499,0.11516684489164501,0.09247170579752981,0.009307156304662887,0.08615345154795988,0.06873627645598555,0.00718914366231489
0.0001,16,18,1251,0.10647266658968006,0.08360205129818049,0.008397180431005688,0.07343150618983615,0.055232228782847635,0.00579617255145266
0.0001,32,18,1401,0.10676748238010714,0.08440404612190316,0.008479587160630483,0.07649139249434858,0.057243121911113144,0.006025055815554862
0.0001,64,18,1451,0.11356655507459723,0.09010092480885733,0.009107177004476103,0.08281930738503514,0.05959343762952804,0.006325710394301697
0.0001,16,21,1001,0.10710729343553733,0.08426457145335346,0.008464465903010527,0.07550998826128749,0.05673443354246718,0.005974202860286617
0.0001,32,21,1151,0.10713583570519133,0.08490516611902624,0.008535468425033653,0.07730685059363113,0.05835346319209158,0.00614236087740702
0.0001,64,21,1499,0.11557071826772808,0.09355996795760992,0.009418976474414092,0.08564844672852125,0.06749657285322644,0.007071939615489613
0.0001,16,24,1201,0.10701100402769687,0.08387482324145103,0.0084198921683957,0.07500876588369172,0.057867372096811726,0.00607753791251979
0.0001,32,24,1301,0.10722366827281249,0.08490646879418451,0.008530520979300666,0.07675486527191226,0.05810238327989377,0.006122239500634667
0.0001,64,24,1499,0.11919998597059052,0.09476399072610119,0.009591980137460113,0.08821255276538423,0.06377257777038249,0.006757942684258562
