lr,batch_size,seq_len,epoch,val_rmse,val_mae,val_mape,train_rmse,train_mae,train_mape
0.01,16,3,51,0.27285412232649603,0.21494750716419544,0.01808793217201794,0.156003971725986,0.1084453966298331,0.012726157516502327
0.01,32,3,51,0.2469259435711861,0.19047024753182534,0.016203555054729434,0.16482973069061574,0.12340334353338148,0.014177678252695124
0.01,64,3,51,0.26738894250984085,0.21364699186098726,0.018042269368171403,0.19555493339572833,0.1526799284736094,0.017468481112558342
0.01,16,6,101,0.2734372003957795,0.2174990551516882,0.018284595973763477,0.14711859704209726,0.10044409120501342,0.011710543506014807
0.01,32,6,51,0.2750266317433606,0.21368804799095917,0.01802668932165227,0.15534540593080132,0.10901020771726844,0.012825633316373522
0.01,64,6,51,0.2718960268012213,0.21262859524082825,0.018162098010065405,0.1860170297133011,0.148325048748372,0.016789828261860623
0.01,16,9,51,0.26402419175628344,0.20624262868236207,0.017393813967411645,0.1726324311776736,0.1325988319024962,0.015731058178972475
0.01,32,9,101,0.26924885168040774,0.2107861025337578,0.01789598795416185,0.15215592754862994,0.1090038371570881,0.012559345278725428
0.01,64,9,101,0.26615100668384717,0.20744713231470413,0.017560646198553086,0.15520761543499345,0.11110896455541333,0.013108580535477643
0.01,16,12,251,0.301764007053801,0.24412938062750297,0.020761888213403273,0.201309085113083,0.1746398785430374,0.019458321719155975
0.01,32,12,51,0.2649194990435632,0.20323020286019985,0.017120736506534163,0.15449832285161014,0.10502015819867637,0.012186377451092871
0.01,64,12,51,0.2506614952558172,0.19232696637738242,0.016225831162993063,0.15774747502509234,0.11162800209589017,0.013199181569303931
0.01,16,15,101,0.270880365252487,0.21222213485828342,0.018074975315480468,0.16653512729845474,0.13057428917422434,0.014701118476591096
0.01,32,15,101,0.27109020387119537,0.21629819173575038,0.018300513833442843,0.15440330951208228,0.11327101858918978,0.013275795976211709
0.01,64,15,51,0.26776368265506156,0.20893113943711217,0.01782383683871837,0.19414972174545064,0.16515084498767302,0.018930693295720134
0.01,16,18,1201,0.2613960967964972,0.20931842510361034,0.01769623367630458,0.15304604656510082,0.11319762129251804,0.01292992181967195
0.01,32,18,51,0.26346815210976726,0.2061659707571512,0.017515427493021356,0.15493784255963927,0.11281083980232047,0.012907674288734789
0.01,64,18,51,0.2461464682053131,0.18881449190116442,0.015937120027762663,0.15124084354585238,0.10340314392520955,0.012035263268158042
0.01,16,21,1451,0.2549508260698086,0.20281401909751895,0.017212755063331482,0.20110816162634862,0.17259586814196168,0.01958668839785364
0.01,32,21,51,0.24067986977258365,0.18810799295414019,0.015856213359709635,0.17413239114103693,0.13222996246175192,0.015587926120771665
0.01,64,21,151,0.2602393810511302,0.20416818883497628,0.017325031759343607,0.15877809312276686,0.12237124663859479,0.013997739994869004
0.01,16,24,1451,0.2475094137416714,0.19906060682623372,0.016813081031970795,0.14930206601785165,0.10963993787897465,0.012624619827587563
