lr,batch_size,seq_len,epoch,val_rmse,val_mae,val_mape,train_rmse,train_mae,train_mape
0.01,16,3,51,3.5215750128525545,2.681709659553119,0.05338858328913456,4.024071692912341,3.2031051975217797,0.062411999036374906
0.01,32,3,51,3.216205423050898,2.5661089239169423,0.05093204042077228,3.7665438631935144,3.006133018382552,0.05720249671573074
0.01,64,3,101,3.346570801460328,2.69824743930536,0.05383122659947678,3.968618189174828,3.140032560374126,0.060714297682782206
0.01,16,6,151,3.3622280083665017,2.74511041008389,0.054199130254517204,2.708621522245921,2.140817023600465,0.040836492607870346
0.01,32,6,151,2.9491459913133684,2.3117477395977026,0.045760069971338455,2.9137595727589694,2.386084755081304,0.046132552725770146
0.01,64,6,201,3.010108109224782,2.389599379018253,0.047706172578320556,2.903212214131387,2.346393347109863,0.0456660952434813
0.01,16,9,51,3.1589844969762213,2.47238379888517,0.04909360610950644,3.0454416668300177,2.4147670074120486,0.04749465950920211
0.01,32,9,51,3.1813684247748366,2.3957712084884513,0.048555733272033115,3.1127170539409366,2.4900657773817936,0.048856236997035465
0.01,64,9,301,3.0860140780336485,2.461092453265753,0.04996748907512187,2.594052693989826,2.0346680006846602,0.03999047169573871
0.01,16,12,101,3.266153041706682,2.5923107006252657,0.05155825500461847,2.6765408518490004,2.1323036005719094,0.04154190824493912
0.01,32,12,51,3.2861237697543726,2.516784868039738,0.049868363225215734,3.2222450574517483,2.5967013919193938,0.05004501947478166
0.01,64,12,51,3.2539389035610307,2.550209073783423,0.051432558164546185,3.08067021740754,2.4738544115192944,0.04895306232749883
0.01,16,15,51,3.016726057790062,2.4537967958277793,0.04772432927256729,3.5722394404480133,2.765464853996816,0.052581677155201685
0.01,32,15,151,3.1427696764323865,2.4691488890204942,0.049913260491060325,2.807675458813894,2.2574736598834537,0.04288508623640697
0.01,64,15,101,3.0456200616282882,2.4675029626641143,0.04856993108732651,3.082283538227474,2.4846802874405394,0.048385446445702425
0.01,16,18,1151,3.007331152298103,2.4063611349951812,0.048455461796283524,2.9472495664845635,2.3571007231033128,0.046291231664537
0.01,32,18,51,3.06046633962563,2.515824857660093,0.04867529191661705,3.300072777839655,2.6373031217960556,0.050884350050106775
0.01,64,18,201,2.8878426155140264,2.2437515231671123,0.04452568795766659,3.0440127004237225,2.3645332422426604,0.045999996754732854
0.01,16,21,51,2.884366968176303,2.285906485688358,0.045381953859614105,2.901136762538655,2.3013321898748984,0.0457383668776317
0.01,32,21,101,3.11658549318198,2.507189103986868,0.04877045630702846,3.1799839874603184,2.55883140648874,0.049596348920048515
0.01,64,21,101,2.9712388174146103,2.275918534523121,0.044966874233621994,2.888043801691279,2.295602159342914,0.04520770090170262
0.01,16,24,301,3.20637304212542,2.4980980880348618,0.050066714149438425,0.46514142071354314,0.3887916983091062,0.007616210981915143
0.01,32,24,51,3.088719248994647,2.321127728097405,0.045975443565356294,3.0137104986614083,2.3809212065717738,0.04670845527448253
0.01,64,24,51,3.0090443652841414,2.3553909241357975,0.04639822272881521,3.038796957538125,2.407917808081151,0.046839481812748454
0.001,16,3,351,3.1668666507317975,2.444786968335841,0.04905136912143409,3.4586558101654234,2.750659193646708,0.05326319921458705
0.001,32,3,701,3.262653030716516,2.491443331447103,0.049852609280776485,3.2635021126783927,2.612893457026614,0.05092389249281926
0.001,64,3,851,3.265341599294791,2.536199015844711,0.05060309594637275,3.332900462356449,2.640448234164854,0.0512180666689567
0.001,16,6,251,3.0035297189706878,2.295962760871985,0.045973789516017154,3.0935710938592917,2.429293528111985,0.04683259800060182
0.001,32,6,451,3.109104002908545,2.3988668551290098,0.04838441756129836,2.9549761249319233,2.353288306335858,0.04567729224362729
0.001,64,6,701,3.0730458863282126,2.444952333357013,0.04914352649471327,3.031610898560093,2.4025588515500593,0.04657555302131614
0.001,16,9,251,3.16221496175011,2.3879959580544448,0.04754295271572525,3.030628116241202,2.418277744246604,0.04715166762345371
0.001,32,9,351,3.2913779422630562,2.647878516810044,0.05306794962774365,2.9454738454964984,2.3700782860343197,0.046868219668393274
0.001,64,9,801,3.2126760991270307,2.5298577188359497,0.05031652554759233,2.8592984804896653,2.294949316981274,0.04510386870432634
0.001,16,12,301,3.0857632510415947,2.520059372696289,0.04943457320253998,2.9953146385138862,2.379110009638723,0.0463818335546024
0.001,32,12,751,3.0649111589580817,2.3586833475825384,0.046833386313821924,2.4871193676276615,1.9926197837729545,0.03881106360081232
0.001,64,12,951,3.1107784727057206,2.503634559219402,0.04929298219126814,2.8711907983204674,2.26590386904621,0.04450338643206622
0.001,16,15,301,2.9855395369432833,2.3446961933016417,0.046381684168786415,2.909726804616565,2.306886457452131,0.045103358167181015
0.001,32,15,451,2.945165402798144,2.3853285465415923,0.047278105234724824,2.9016060499243195,2.308205371284712,0.045444757104240265
0.001,64,15,951,2.8917084101179023,2.320801618361121,0.045904587926459184,3.018289713464815,2.363459337332002,0.04609615071497982
0.001,16,18,251,2.9482380986306658,2.3721537784833733,0.04710097102819405,2.8999241858496667,2.284326791118559,0.045397764089338814
0.001,32,18,501,2.9007753875086193,2.342911302801683,0.04633696967002466,2.877936268060597,2.264233267033283,0.04499273864234207
0.001,64,18,1001,2.8958286225165937,2.2981948146129545,0.04540428566985066,2.894785191402605,2.2741011674773235,0.04477663680727082
0.001,16,21,251,2.97489804765961,2.3598528848318816,0.04664911938283671,2.8889237158824503,2.281553617225446,0.04529422067792053
0.001,32,21,351,2.899690947190042,2.269564212658142,0.044881829645964856,2.8891205397722475,2.260693156710691,0.04487368136104702
0.001,64,21,451,2.9435221120200086,2.336357215371005,0.04649225389266321,2.895497790978061,2.2807183928119343,0.04555195681772408
0.001,16,24,401,2.880619409531517,2.2995638495468667,0.045261237573395646,2.7602942962702457,2.1634643313084685,0.0428209211835296
0.001,32,24,551,2.9157602882792477,2.2847470217835566,0.04488053523256995,2.796229995729317,2.190367988707279,0.043314147147125885
0.001,64,24,551,2.9211024466347144,2.2866411410698193,0.04484168150007966,2.844779391205593,2.2135662677444574,0.044020379884705044
0.0001,16,3,1499,3.4238082444854467,2.7510994113679152,0.05345286664171412,4.077780229498204,3.244858686485358,0.06251303948485404
0.0001,32,3,1451,3.53299004947899,2.856420122600809,0.05496056524113883,4.215428399149439,3.3189669376820814,0.0643776875035154
0.0001,64,3,1301,3.614770984910947,2.9365868878088084,0.05639861124214209,4.275811693607274,3.3464533844154767,0.06501031183880503
0.0001,16,6,1451,3.195808566245829,2.5445687397636445,0.051086366833227516,3.1252987957474665,2.471694768269663,0.04835279971351967
0.0001,32,6,1301,3.197218686908984,2.566966353998914,0.05123208823566655,3.1897871106098292,2.533003539725006,0.049213093041508005
0.0001,64,6,1351,3.277470721714093,2.595714496577461,0.05186733256959148,3.2157749594964877,2.5495089076725215,0.049548926430354995
0.0001,16,9,301,3.189576900734244,2.605031541910583,0.052022225254516906,3.1745645994123954,2.5342598156514327,0.04985452595223951
0.0001,32,9,301,3.2625287550901363,2.675273313769215,0.05390974565008912,3.296430398497937,2.6221814451640704,0.05177338057253804
0.0001,64,9,201,3.1983739707247847,2.682499787413549,0.05348391730971347,3.6148060398957997,2.883232166369662,0.056050512640236826
0.0001,16,12,1499,3.1505902035400872,2.58867142887975,0.05115830998885095,2.9363925121978016,2.3148666731124212,0.045762864676563965
0.0001,32,12,251,3.164488524758236,2.596298470117922,0.052175273917930205,3.1508997286168596,2.480395278887194,0.04890372482390385
0.0001,64,12,251,3.157829511322255,2.6067087145143892,0.05222069177132865,3.2552475351537513,2.5795523874764603,0.05051742659348942
0.0001,16,15,101,3.048754806289858,2.4723228966373934,0.04993725728883722,3.1225760490022596,2.4306575137109143,0.04811920793788222
0.0001,32,15,201,3.0438941466223737,2.480776940084876,0.05006862258993417,3.1171825562423425,2.4283096379005893,0.04801222552934574
0.0001,64,15,501,3.056204397242565,2.505782728293332,0.05047575915427407,3.0862119226008153,2.417198128862062,0.04775590760522915
0.0001,16,18,1499,2.8545346229643536,2.2566927600115094,0.044518358237282146,2.9270643217858288,2.2795979586397093,0.04512986891064248
0.0001,32,18,1001,2.9381457783251514,2.370489562476428,0.04726413706684148,3.0082511420266953,2.3548275788583544,0.046482435891082786
0.0001,64,18,1201,2.9302291804845964,2.3669070444307025,0.04707479335899328,3.054020581257134,2.3977819011240418,0.04706995551560011
0.0001,16,21,1251,2.8534434499717976,2.205157851388946,0.04378530695974553,2.872457055826961,2.243145028303617,0.04474616104415593
