lr,batch_size,seq_len,epoch,val_rmse,val_mae,val_mape,train_rmse,train_mae,train_mape
0.01,16,3,201,2.5550465019198456,2.0583165034230873,0.036294277107432264,2.3610015434469775,1.868905094844345,0.03241513423803663
0.01,32,3,201,2.3584814238068934,1.9711898358171471,0.03444634042102633,2.366472043654087,1.8489158275518218,0.032086621742850985
0.01,64,3,201,2.5056174511432343,2.0567127557645466,0.035393200858942875,2.4175167967690467,1.8909238529134902,0.0326355244586977
0.01,16,6,301,2.552956704579394,2.098442613092842,0.036264791491401924,1.6598818620606368,1.3065778836053132,0.02245066887875018
0.01,32,6,51,2.2741824114618816,1.9382163043945118,0.03234136757361049,2.237104660570584,1.7672007487813945,0.030532361863558007
0.01,64,6,101,2.2972609951129863,1.9145616386850033,0.031937059533874025,2.2875505331473716,1.7846152445393668,0.031034056916631757
0.01,16,9,201,2.1959956391490056,1.8408769387564596,0.03146445913683382,2.2364459648418755,1.7685015304649496,0.030904757175274678
0.01,32,9,151,2.2082008185484066,1.8644636932845133,0.03208491876954383,2.183256416155185,1.7229082669049638,0.02970736421329591
0.01,64,9,151,2.2059808570289725,1.9034771074911798,0.03213127363748132,2.1043364435021448,1.6397852298042137,0.028601871362475627
0.01,16,12,301,2.3014156416063227,1.9155938609747967,0.03298806088516702,1.5605688338819743,1.2183027894788974,0.021159412673588524
0.01,32,12,351,2.1970357827240217,1.7715809135777285,0.030374032681120867,1.6548216095456365,1.2756149215918815,0.022364502705162093
0.01,64,12,101,2.117846825608289,1.78765184954339,0.030388275537257106,2.1370682553974745,1.6523502900982612,0.028700795556047
0.01,16,15,201,2.1457806311994845,1.7641346218609424,0.030144159205672802,1.9892204540564382,1.5599047316103944,0.02701736944155853
0.01,32,15,301,2.207159528079206,1.8404864925719306,0.031790388262582334,1.9358303728749215,1.520564049501311,0.026288965803943593
0.01,64,15,451,2.1480078710851713,1.7247706905384728,0.029529990982350235,2.0087153262119926,1.5624223389273433,0.027016395275368373
0.01,16,18,151,2.1409895436944506,1.8044484439832047,0.03101281768594312,2.4336067133538517,1.923200111633684,0.03270421770308575
0.01,32,18,151,2.3909778256688092,2.0345301901170068,0.0348445550472012,2.1245970474157487,1.6798404926901076,0.02882262728973563
0.01,64,18,1401,2.1648804811116245,1.82924169399299,0.03146634130221694,1.9343079910431056,1.5001264460424466,0.026431367200366523
0.01,16,21,151,2.2213162105619038,1.756648281690855,0.029443305575432274,2.213627500008071,1.76672486368929,0.030662896346896614
0.01,32,21,1001,2.04106367330312,1.7657201707597883,0.029441754088064688,0.7848622596256776,0.6537831767204118,0.011374950710699392
0.01,64,21,351,2.214457214753493,1.7912109943691257,0.030339496121847807,1.6493874363196137,1.3112376314976928,0.02308807560401019
0.01,16,24,51,2.1870188598645304,1.8324936372662914,0.030386411622436448,2.2200912366974546,1.7219069858458889,0.030292243932393978
0.01,32,24,51,2.1979365484552233,1.8436852667409143,0.03113346619102627,2.057190064216844,1.6110781583676088,0.027936476316025673
0.01,64,24,101,2.161221940911926,1.765523340331483,0.029732791447065594,1.9916692910986893,1.5460062221723507,0.027027295319861682
0.001,16,3,551,2.3617345408363635,1.912255932447994,0.03253401774128651,2.349230075823366,1.8113713800198568,0.0314018381191596
0.001,32,3,651,2.455231212024809,2.05220998369845,0.03534293443389081,2.350456515713095,1.8138653978066828,0.0314633851874122
0.001,64,3,1101,2.444209059563651,2.022021744671788,0.03462928396377828,2.3433699469893905,1.8056406307236492,0.03132227349593494
0.001,16,6,401,2.3453037904663274,1.9385177017851702,0.032591085426836426,2.0984154565907844,1.6296141106932225,0.028335637055028718
0.001,32,6,901,2.3215830136459727,1.9548260842103917,0.032804250578652765,2.084810615722535,1.610848910939415,0.028074952437425253
0.001,64,6,401,2.3347126693916374,1.9299624215047133,0.032401091652861466,2.283943163889858,1.7606527090227801,0.03054328515125321
0.001,16,9,651,2.359019202140114,1.9593817976301207,0.03342436685930816,2.0295507163850566,1.5856395524253528,0.02766426874368141
0.001,32,9,851,2.2662856338408215,1.8851353451301853,0.03169728609456254,2.0198876099006373,1.5634741865259665,0.027404978121762735
0.001,64,9,1151,2.234952101901724,1.8839773810115759,0.03192693135249335,2.0908678034470345,1.6303240775042447,0.028423924266335096
0.001,16,12,601,2.2403225774847972,1.8270921130898592,0.030852702954875015,1.853000921051955,1.454506874172803,0.025605153453456188
0.001,32,12,901,2.145216079950018,1.7408241513100382,0.029510020331596266,1.8861171085673702,1.466317100269994,0.02586128669955117
0.001,64,12,901,2.2113269927449024,1.8018995479295747,0.030442041566039146,2.013560507462982,1.5733521039342553,0.02741437883605067
0.001,16,15,751,2.060851151498405,1.6560291327869627,0.028113643592302173,1.8353382688056703,1.412402019241133,0.024779786143001786
0.001,32,15,951,2.099768962225474,1.64961588537687,0.02775560926206924,2.0232749775779806,1.579511390127147,0.027801379063275643
0.001,64,15,1051,2.117493150842199,1.7013350909136205,0.028782425089377582,1.993908003548716,1.5376662169658715,0.0268902162298044
0.001,16,18,451,2.164339383209141,1.7923789484875394,0.03071716186604923,1.9437782005070599,1.5006905140892228,0.026179526833524838
0.001,32,18,701,2.1515529449113835,1.7530985763452207,0.029656606311243866,1.972805444773263,1.5198966495577773,0.026595078964617977
0.001,64,18,1499,2.1080402183379956,1.7409250091312303,0.029765867869797905,2.056646773077441,1.5980890396205696,0.027845956663180415
0.001,16,21,251,2.1319709184530766,1.6995206066281696,0.02854030236187709,2.058388922339413,1.607923163317712,0.02812030973041925
0.001,32,21,551,2.15310291223979,1.6868198722036234,0.028466325656743625,2.0112915284222566,1.5556940291704475,0.027276125652765066
0.001,64,21,1301,2.092808131335112,1.664151114189452,0.0285469662327478,1.8911774272705955,1.4590519416803778,0.025840108482801674
0.001,16,24,701,2.158193762229628,1.72405697221336,0.029594990537056113,1.65793876711161,1.2969446130426987,0.02266271642354358
0.001,32,24,501,2.1230591341213096,1.6992704856366236,0.029026172460167497,1.9629422258300204,1.5171716683162708,0.026613395122762753
0.001,64,24,751,2.1402640471188503,1.68209125249211,0.028560919899453644,1.9376228660680623,1.4947016903395967,0.026252399180890666
0.0001,16,3,1401,2.6344063973228367,2.1853687878363273,0.037358715385496226,2.7327161311956094,2.172247386799485,0.03744270984639848
0.0001,32,3,1351,2.716093831286653,2.2087795533286623,0.03771908915899487,2.7760009466209956,2.198328338327641,0.03808671352242223
0.0001,64,3,1351,2.7755507546321905,2.2334478535817675,0.03809162427400226,2.8313609604611667,2.2426715898891665,0.03898717163502202
0.0001,16,6,951,2.493375166471131,2.0633372817419398,0.034181044350797316,2.2343814666871333,1.7537989837114223,0.030284136154358852
0.0001,32,6,1201,2.5701051872233043,2.094360108422751,0.03467364845874098,2.2352350322625036,1.756836102842067,0.030262158872289675
0.0001,64,6,1301,2.6913358051323963,2.181793600706493,0.03574034766395933,2.264341085014764,1.7620546905023504,0.030380989087013945
0.0001,16,9,1201,2.580422002547943,2.1323006127654383,0.03553105303632565,2.1617103785271192,1.700384639653401,0.029424056139339613
0.0001,32,9,1251,2.639653794693224,2.1697613003249088,0.035888347084195846,2.1677965724512753,1.6979237342897868,0.029408725581597562
0.0001,64,9,1151,2.6104984430680735,2.140915453703422,0.03545576530111221,2.3049019092273606,1.8097009608428474,0.03139580192380082
0.0001,16,12,1499,2.2640545915866475,1.7946780673329978,0.03009397600596475,2.0068875222683404,1.5716576293290565,0.027346324185447756
0.0001,32,12,851,2.329907961095677,1.8576216450841339,0.030997044067731405,2.165725416854041,1.6878774316521894,0.029354417355362167
0.0001,64,12,1499,2.3752123305406587,1.9014768753176186,0.03161433364115119,2.1358378453494447,1.6637003952107159,0.028904164182963415
0.0001,16,15,1401,2.1560687874584628,1.6727728354718812,0.028293215513220626,1.994027222015202,1.5686652210908265,0.027205294762355725
0.0001,32,15,1401,2.2078854593786095,1.7357311081040065,0.02912755844608983,2.086789295962921,1.6148616690271989,0.02800559695798078
0.0001,64,15,1051,2.2889223010861333,1.8212771333173061,0.030398029002405687,2.1362353729500962,1.6644807067193716,0.028815648321330475
0.0001,16,18,1351,2.249520468026155,1.749868764760536,0.029630663321223855,1.9966295448247833,1.5441151106474398,0.02690540043533469
0.0001,32,18,1499,2.2894591629001075,1.7777664807117646,0.029967930312394236,2.0651711463545923,1.6002652312107335,0.0278742155942183
0.0001,64,18,1499,2.237750327749259,1.746810714052737,0.029232496644431248,2.1772127931232634,1.6782789443298427,0.02928764793001205
0.0001,16,21,1151,2.236163605940542,1.7544716882751743,0.02969236764827824,1.9547227147424073,1.5187895221055439,0.0266208527569273
0.0001,32,21,1301,2.3546923470502956,1.851522891223306,0.03137041402883996,1.9813081630687182,1.5491250873384559,0.027058107843968126
0.0001,64,21,1051,2.4867425161318892,1.9631420876220067,0.032935917191437986,2.043056168006311,1.601485126809768,0.027865826948210697
0.0001,16,24,1101,2.2622161772961507,1.7561192472420204,0.0299830757051803,1.9588052312949409,1.524853389756112,0.026695612589635653
0.0001,32,24,1351,2.2598132307962575,1.7535184947012628,0.029674140607077307,1.965243093472459,1.5237609663956302,0.02668728927804413
0.0001,64,24,1201,2.3989029199034597,1.8754351985024096,0.031688995418044735,2.006820839976135,1.5690898385842016,0.027342119923498397
